nome,ano,fase,pedra,inde,iaa,ieg,ips,ida,ipp,ipv,ian,ponto_virada,idade_aluno,turma
ALUNO-1,2020,2,Ametista,7.883752,8.500020000000001,8.7,7.5,7.0,5.9375,7.75,10,Não,15.0,H
ALUNO-3,2020,3,Ametista,7.856389666666666,7.91667,8.9,7.5,5.5,8.125,8.111113333333334,10,Não,18.0,H
ALUNO-4,2020,1,Quartzo,5.076252,8.000020000000001,4.1,6.875,0.0,7.1875,7.75,5,Não,18.0,D
ALUNO-5,2020,2,Ametista,8.077085,7.50002,8.0,7.5,7.5,8.4375,8.166665,10,Não,18.0,M
ALUNO-8,2020,4,Ametista,8.381390666666666,8.33334,9.9,4.375,7.333333333333333,8.749999999999998,8.94445,10,Sim,18.0,L
ALUNO-10,2020,3,Quartzo,5.1618745,5.83333,5.2,3.75,0.0,7.96875,6.8333325,10,Não,16.0,B
ALUNO-11,2020,0,Topázio,9.712504,9.000020000000001,10.0,8.125,10.0,10.0,10.00001,10,Sim,18.0,A
ALUNO-12,2020,3,Quartzo,5.838887333333334,6.25,6.0,5.625,6.666666666666667,5.624999999999999,5.277770000000001,5,Não,19.0,G
ALUNO-14,2020,2,Ágata,6.434585,8.000020000000001,7.6,6.875,0.0,8.4375,7.916665,10,Não,18.0,M
ALUNO-15,2020,2,Quartzo,5.162502,8.500020000000001,4.0,7.5,0.0,8.125,7.25,5,Não,15.0,D
ALUNO-17,2020,1,Ametista,7.766252,9.50002,6.8,7.5,10.0,6.5625,7.75,5,Não,19.0,G
ALUNO-18,2020,3,Ágata,7.2055576666666665,9.58335,7.0,7.5,6.5,7.083333333333334,7.944446666666665,5,Não,18.0,E
ALUNO-28,2020,3,Topázio,9.354725666666669,9.58335,9.6,6.875,9.0,10.0,9.944453333333334,10,Sim,16.0,J
ALUNO-30,2020,0,Ágata,7.125001,7.916679999999999,10.0,7.5,4.75,2.5,6.916665,10,Não,15.0,C
ALUNO-33,2020,3,Ágata,7.013888333333334,6.66667,4.5,7.5,8.666666666666666,7.083333333333334,6.277773333333332,10,Não,18.0,E
ALUNO-34,2020,2,Ametista,7.698890666666667,8.500020000000001,9.3,6.875,7.0,8.125,7.944443333333334,5,Não,16.0,C
ALUNO-35,2020,7,Ágata,6.64396,8.75001,6.1,6.25,5.0,7.65625,8.29167,5,Não,16.0,B
ALUNO-36,2020,3,Ametista,8.307780333333334,9.58335,9.9,7.5,8.0,8.749999999999998,8.222226666666668,5,Não,16.0,C
ALUNO-37,2020,2,Ágata,6.6788913333333335,10.00002,7.7,4.375,2.5,6.458333333333333,7.77778,10,Não,16.0,N
ALUNO-39,2020,3,Ametista,8.131388333333334,6.24999,9.4,7.5,8.333333333333334,8.541666666666666,6.777780000000001,10,Não,16.0,F
ALUNO-41,2020,1,Ametista,7.460002,8.000020000000001,8.3,7.5,7.25,7.5,7.75,5,Não,16.0,D
ALUNO-43,2020,4,Ametista,7.805209,7.5,7.5,7.5,7.0,7.96875,8.04167,10,Não,19.0,F
ALUNO-44,2020,1,Ágata,6.218335,9.000020000000001,6.8,7.5,0.0,6.25,7.916665,10,Não,18.0,M
ALUNO-45,2020,1,Ágata,6.631252,8.500020000000001,1.0,7.5,10.0,7.8125,7.75,5,Não,19.0,G
ALUNO-46,2020,0,Ágata,6.966669,9.50002,10.0,7.5,0.0,7.5,7.583335,10,Não,18.0,C
ALUNO-51,2020,0,Topázio,8.955835,9.50002,9.8,7.5,10.0,8.125,7.416665,10,Não,17.0,D
ALUNO-52,2020,2,Ametista,8.181112666666667,10.00002,8.6,6.25,7.0,7.916666666666668,8.22222,10,Não,17.0,F
ALUNO-53,2020,5,Topázio,8.696667999999999,9.16668,10.0,7.5,8.2,0.0,0.0,10,,17.0,X
ALUNO-55,2020,6,Ágata,6.878125166666666,0.0,9.0,7.5,6.333333333333333,8.28125,8.666667499999999,5,Sim,17.0,C
ALUNO-57,2020,6,Ametista,7.311667166666667,8.33334,7.1,6.25,5.833333333333333,7.5,7.5833325,10,Não,17.0,B
ALUNO-59,2020,3,Ágata,6.563055666666668,8.75001,3.6,7.5,6.0,7.291666666666667,6.444439999999998,10,Não,18.0,E
ALUNO-60,2020,5,Ametista,7.679582333333333,7.5,9.7,6.875,6.666666666666667,8.4375,8.124995,5,Não,18.0,F
ALUNO-61,2020,1,Quartzo,5.604168666666667,9.000020000000001,6.5,7.5,0.0,6.875,7.333333333333333,5,Não,17.0,N
ALUNO-62,2020,2,Ágata,6.330001333333334,7.916679999999999,6.9,7.5,3.5,7.083333333333333,7.5,5,Não,17.0,L
ALUNO-68,2020,1,Quartzo,5.988752,9.000020000000001,7.6,7.5,0.0,7.1875,8.0,5,Não,17.0,F
ALUNO-75,2020,3,Topázio,9.687504,10.00002,10.0,10.0,9.0,9.375,9.75001,10,Sim,15.0,L
ALUNO-76,2020,0,Topázio,8.958334,8.91668,10.0,10.0,10.0,7.5,6.58333,10,Não,14.0,B
ALUNO-78,2020,1,Ametista,7.352085,9.50002,9.0,7.5,5.5,7.1875,7.666665,5,Não,17.0,A
ALUNO-80,2020,2,Ágata,6.499723333333334,6.91668,9.2,7.5,0.0,7.291666666666667,7.444443333333333,10,Não,17.0,N
ALUNO-81,2020,4,Ametista,7.386391000000001,5.41667,8.8,7.5,6.0,8.125,9.11112,5,Sim,18.0,L
