idfasenotadisciplinaturma,idturma_x,idfasenota,iddisciplina_x,conteudoprogramatico,idperiodo,idserie,numerofase,nomefase,cabecboletim,imprimirboletimnotaparcial,imprimirboletimnpnaoconfirmada,imprimirboletimnota,imprimirboletimfaltas,stfaseinformada,stcalculardisciplinacomposta,idformulacomposicaonota,idformulanota,mediaminimaaprovacao,valorarredondamentomedia,idformulaaprovacao,idformulafalta,idfasenotaaprovacao,idfasenotareprovacao,datainicioexibicao,numeroordemexibicao,numerosemanasletivas,stcalcularsituacaogeral,idformulaaprovacaofrequencia,valornotamaxima,datainicialperiodoaula,datafinalperiodoaula,stcalcdisccomputilizaformulafn,datalimitedigitacaonota,numerodiasletivos,stdispensarnotaautomatica,tipodispensaautomatica,stconfirmardispensaautomatica,situacaoreprovadofrequencia,situacaoaprovado,situacaoreprovado,stfasenotasemprecalcular,tipoinformada,stpermiteprofessorimportarpadraoavaliacao,stpermiteprofessorinserireditaravaliacao,stpermiteprofessorinserirbloco,iddisciplina_y,idturma_y,idaluno,nota01,nota02,nota03,nota04,nota05,nota06,nota07,nota08,nota09,nota10,idformulacomposicao,stnotaconfirmada,notafase,faltas,quantaulasdadas,_nota01,stnotafaseexibirdisp,idfasenotaaluno,dt_pst
1,420,134,4,,5,2,1,DIAGNOSTICA 1,DIG1,false,false,false,false,true,false,55.0,,5.0,,50.0,,135.0,,,1,,false,,10.0,,,false,,,false,,false,,,R,false,FormulaComposicao,true,true,true,4,410,657,8.0,,,,,,,,,,55.0,true,8.0,0.0,,,false,3109,2025-02-09
1,420,134,4,,5,2,1,DIAGNOSTICA 1,DIG1,false,false,false,false,true,false,55.0,,5.0,,50.0,,135.0,,,1,,false,,10.0,,,false,,,false,,false,,,R,false,FormulaComposicao,true,true,true,4,410,661,8.5,,,,,,,,,,55.0,true,8.5,0.0,,,false,3110,2025-02-09
1,420,134,4,,5,2,1,DIAGNOSTICA 1,DIG1,false,false,false,false,true,false,55.0,,5.0,,50.0,,135.0,,,1,,false,,10.0,,,false,,,false,,false,,,R,false,FormulaComposicao,true,true,true,4,410,686,5.0,,,,,,,,,,55.0,true,5.0,0.0,,,false,3111,2025-02-09
1,420,134,4,,5,2,1,DIAGNOSTICA 1,DIG1,false,false,false,false,true,false,55.0,,5.0,,50.0,,135.0,,,1,,false,,10.0,,,false,,,false,,false,,,R,false,FormulaComposicao,true,true,true,4,410,696,0.0,,,,,,,,,,55.0,true,0.0,0.0,,,false,3112,2025-02-09
1,420,134,4,,5,2,1,DIAGNOSTICA 1,DIG1,false,false,false,false,true,false,55.0,,5.0,,50.0,,135.0,,,1,,false,,10.0,,,false,,,false,,false,,,R,false,FormulaComposicao,true,true,true,4,410,698,3.0,,,,,,,,,,55.0,true,3.0,0.0,,,false,3113,2025-02-09
1,420,134,4,,5,2,1,DIAGNOSTICA 1,DIG1,false,false,false,false,true,false,55.0,,5.0,,50.0,,135.0,,,1,,false,,10.0,,,false,,,false,,false,,,R,false,FormulaComposicao,true,true,true,4,410,863,6.5,,,,,,,,,,55.0,true,6.5,0.0,,,false,3114,2025-02-09
1,420,134,4,,5,2,1,DIAGNOSTICA 1,DIG1,false,false,false,false,true,false,55.0,,5.0,,50.0,,135.0,,,1,,false,,10.0,,,false,,,false,,false,,,R,false,FormulaComposicao,true,true,true,4,410,900,0.0,,,,,,,,,,55.0,true,0.0,0.0,,,false,3115,2025-02-09
1,420,134,4,,5,2,1,DIAGNOSTICA 1,DIG1,false,false,false,false,true,false,55.0,,5.0,,50.0,,135.0,,,1,,false,,10.0,,,false,,,false,,false,,,R,false,FormulaComposicao,true,true,true,4,410,934,7.5,,,,,,,,,,55.0,true,7.5,0.0,,,false,3116,2025-02-09
1,420,134,4,,5,2,1,DIAGNOSTICA 1,DIG1,false,false,false,false,true,false,55.0,,5.0,,50.0,,135.0,,,1,,false,,10.0,,,false,,,false,,false,,,R,false,FormulaComposicao,true,true,true,4,410,937,3.0,,,,,,,,,,55.0,true,3.0,0.0,,,false,3117,2025-02-09
1,420,134,4,,5,2,1,DIAGNOSTICA 1,DIG1,false,false,false,false,true,false,55.0,,5.0,,50.0,,135.0,,,1,,false,,10.0,,,false,,,false,,false,,,R,false,FormulaComposicao,true,true,true,4,410,1074,0.0,,,,,,,,,,55.0,true,0.0,0.0,,,false,3118,2025-02-09
1,420,134,4,,5,2,1,DIAGNOSTICA 1,DIG1,false,false,false,false,true,false,55.0,,5.0,,50.0,,135.0,,,1,,false,,10.0,,,false,,,false,,false,,,R,false,FormulaComposicao,true,true,true,16,410,616,,,,,,,,,,,55.0,false,,0.0,,,false,3160,2025-02-09
1,420,134,4,,5,2,1,DIAGNOSTICA 1,DIG1,false,false,false,false,true,false,55.0,,5.0,,50.0,,135.0,,,1,,false,,10.0,,,false,,,false,,false,,,R,false,FormulaComposicao,true,true,true,16,410,657,,,,,,,,,,,55.0,false,,0.0,,,false,3161,2025-02-09
1,420,134,4,,5,2,1,DIAGNOSTICA 1,DIG1,false,false,false,false,true,false,55.0,,5.0,,50.0,,135.0,,,1,,false,,10.0,,,false,,,false,,false,,,R,false,FormulaComposicao,true,true,true,16,410,661,,,,,,,,,,,55.0,false,,0.0,,,false,3162,2025-02-09
1,420,134,4,,5,2,1,DIAGNOSTICA 1,DIG1,false,false,false,false,true,false,55.0,,5.0,,50.0,,135.0,,,1,,false,,10.0,,,false,,,false,,false,,,R,false,FormulaComposicao,true,true,true,16,410,686,,,,,,,,,,,55.0,false,,0.0,,,false,3163,2025-02-09
1,420,134,4,,5,2,1,DIAGNOSTICA 1,DIG1,false,false,false,false,true,false,55.0,,5.0,,50.0,,135.0,,,1,,false,,10.0,,,false,,,false,,false,,,R,false,FormulaComposicao,true,true,true,16,410,696,,,,,,,,,,,55.0,false,,0.0,,,false,3164,2025-02-09
1,420,134,4,,5,2,1,DIAGNOSTICA 1,DIG1,false,false,false,false,true,false,55.0,,5.0,,50.0,,135.0,,,1,,false,,10.0,,,false,,,false,,false,,,R,false,FormulaComposicao,true,true,true,16,410,698,,,,,,,,,,,55.0,false,,0.0,,,false,3165,2025-02-09
1,420,134,4,,5,2,1,DIAGNOSTICA 1,DIG1,false,false,false,false,true,false,55.0,,5.0,,50.0,,135.0,,,1,,false,,10.0,,,false,,,false,,false,,,R,false,FormulaComposicao,true,true,true,16,410,863,,,,,,,,,,,55.0,false,,0.0,,,false,3166,2025-02-09
1,420,134,4,,5,2,1,DIAGNOSTICA 1,DIG1,false,false,false,false,true,false,55.0,,5.0,,50.0,,135.0,,,1,,false,,10.0,,,false,,,false,,false,,,R,false,FormulaComposicao,true,true,true,16,410,900,,,,,,,,,,,55.0,false,,0.0,,,false,3167,2025-02-09
1,420,134,4,,5,2,1,DIAGNOSTICA 1,DIG1,false,false,false,false,true,false,55.0,,5.0,,50.0,,135.0,,,1,,false,,10.0,,,false,,,false,,false,,,R,false,FormulaComposicao,true,true,true,16,410,934,,,,,,,,,,,55.0,false,,0.0,,,false,3168,2025-02-09
1,420,134,4,,5,2,1,DIAGNOSTICA 1,DIG1,false,false,false,false,true,false,55.0,,5.0,,50.0,,135.0,,,1,,false,,10.0,,,false,,,false,,false,,,R,false,FormulaComposicao,true,true,true,16,410,937,,,,,,,,,,,55.0,false,,0.0,,,false,3169,2025-02-09
1,420,134,4,,5,2,1,DIAGNOSTICA 1,DIG1,false,false,false,false,true,false,55.0,,5.0,,50.0,,135.0,,,1,,false,,10.0,,,false,,,false,,false,,,R,false,FormulaComposicao,true,true,true,16,410,1074,,,,,,,,,,,55.0,false,,0.0,,,false,3170,2025-02-09
1,420,134,4,,5,2,1,DIAGNOSTICA 1,DIG1,false,false,false,false,true,false,55.0,,5.0,,50.0,,135.0,,,1,,false,,10.0,,,false,,,false,,false,,,R,false,FormulaComposicao,true,true,true,18,410,616,,,,,,,,,,,55.0,false,,0.0,,,false,3171,2025-02-09
1,420,134,4,,5,2,1,DIAGNOSTICA 1,DIG1,false,false,false,false,true,false,55.0,,5.0,,50.0,,135.0,,,1,,false,,10.0,,,false,,,false,,false,,,R,false,FormulaComposicao,true,true,true,18,410,657,,,,,,,,,,,55.0,false,,0.0,,,false,3172,2025-02-09
1,420,134,4,,5,2,1,DIAGNOSTICA 1,DIG1,false,false,false,false,true,false,55.0,,5.0,,50.0,,135.0,,,1,,false,,10.0,,,false,,,false,,false,,,R,false,FormulaComposicao,true,true,true,18,410,661,,,,,,,,,,,55.0,false,,0.0,,,false,3173,2025-02-09
1,420,134,4,,5,2,1,DIAGNOSTICA 1,DIG1,false,false,false,false,true,false,55.0,,5.0,,50.0,,135.0,,,1,,false,,10.0,,,false,,,false,,false,,,R,false,FormulaComposicao,true,true,true,18,410,696,,,,,,,,,,,55.0,false,,0.0,,,false,3174,2025-02-09
1,420,134,4,,5,2,1,DIAGNOSTICA 1,DIG1,false,false,false,false,true,false,55.0,,5.0,,50.0,,135.0,,,1,,false,,10.0,,,false,,,false,,false,,,R,false,FormulaComposicao,true,true,true,18,410,863,,,,,,,,,,,55.0,false,,0.0,,,false,3175,2025-02-09
1,420,134,4,,5,2,1,DIAGNOSTICA 1,DIG1,false,false,false,false,true,false,55.0,,5.0,,50.0,,135.0,,,1,,false,,10.0,,,false,,,false,,false,,,R,false,FormulaComposicao,true,true,true,18,410,900,,,,,,,,,,,55.0,false,,0.0,,,false,3176,2025-02-09
1,420,134,4,,5,2,1,DIAGNOSTICA 1,DIG1,false,false,false,false,true,false,55.0,,5.0,,50.0,,135.0,,,1,,false,,10.0,,,false,,,false,,false,,,R,false,FormulaComposicao,true,true,true,18,410,934,,,,,,,,,,,55.0,false,,0.0,,,false,3177,2025-02-09
1,420,134,4,,5,2,1,DIAGNOSTICA 1,DIG1,false,false,false,false,true,false,55.0,,5.0,,50.0,,135.0,,,1,,false,,10.0,,,false,,,false,,false,,,R,false,FormulaComposicao,true,true,true,18,410,937,,,,,,,,,,,55.0,false,,0.0,,,false,3178,2025-02-09
1,420,134,4,,5,2,1,DIAGNOSTICA 1,DIG1,false,false,false,false,true,false,55.0,,5.0,,50.0,,135.0,,,1,,false,,10.0,,,false,,,false,,false,,,R,false,FormulaComposicao,true,true,true,1,411,645,0.0,,,,,,,,,,55.0,true,0.0,0.0,,,false,3179,2025-02-09
1,420,134,4,,5,2,1,DIAGNOSTICA 1,DIG1,false,false,false,false,true,false,55.0,,5.0,,50.0,,135.0,,,1,,false,,10.0,,,false,,,false,,false,,,R,false,FormulaComposicao,true,true,true,1,411,688,6.5,,,,,,,,,,55.0,true,6.5,0.0,,,false,3180,2025-02-09
1,420,134,4,,5,2,1,DIAGNOSTICA 1,DIG1,false,false,false,false,true,false,55.0,,5.0,,50.0,,135.0,,,1,,false,,10.0,,,false,,,false,,false,,,R,false,FormulaComposicao,true,true,true,1,411,712,0.0,,,,,,,,,,55.0,true,0.0,0.0,,,false,3181,2025-02-09
1,420,134,4,,5,2,1,DIAGNOSTICA 1,DIG1,false,false,false,false,true,false,55.0,,5.0,,50.0,,135.0,,,1,,false,,10.0,,,false,,,false,,false,,,R,false,FormulaComposicao,true,true,true,1,411,828,,,,,,,,,,,55.0,false,,0.0,,,false,3182,2025-02-09
1,420,134,4,,5,2,1,DIAGNOSTICA 1,DIG1,false,false,false,false,true,false,55.0,,5.0,,50.0,,135.0,,,1,,false,,10.0,,,false,,,false,,false,,,R,false,FormulaComposicao,true,true,true,1,411,829,4.0,,,,,,,,,,55.0,true,4.0,0.0,,,false,3183,2025-02-09
1,420,134,4,,5,2,1,DIAGNOSTICA 1,DIG1,false,false,false,false,true,false,55.0,,5.0,,50.0,,135.0,,,1,,false,,10.0,,,false,,,false,,false,,,R,false,FormulaComposicao,true,true,true,1,411,882,3.0,,,,,,,,,,55.0,true,3.0,0.0,,,false,3184,2025-02-09
