idaluno,codigoserie_x,anoconclusao_x,iddisciplina,stdependencia,nota_,notafinal,cargahorariaanual,quantidadefaltasanual,resultadofinal_x,idserie_x,cargahorariaanualexibicao,stchignorarsoma_x,idhistoriconotas,novoensinomedio_grupoestruturacurricular,novoensinomedio_areaconhecimento,cargahorariaanualhoraminuto,cargahorariaanualhoraminutoexibicao,stusacargahorariaanualhoraminutotexto,faltashoraminuto,cargahorariaaula,codigoserie_y,anoconclusao_y,resultadofinal_y,idestabelecimentoensino,diasletivos,cargahorariatotal,observacao,idserie_y,cargahorariatotalexibicao,stchignorarsoma_y,frequenciatotal,cargahorariatotalhoraminuto,cargahorariatotalhoraminutoexibicao,stusacargahorariatotalhoraminutotexto,totalfaltastexto,dt_pst
2,n14,2023,5,0,,"6,5",,0.0,R,,,false,59,,,,,false,,,n14,2023,C,2083,,,,,,false,,,,false,,2025-02-09
2,n14,2023,5,0,,"6,5",,0.0,R,,,false,59,,,,,false,,,n17,2023,A,2083,,,,,,false,,,,false,,2025-02-09
2,n17,2023,5,0,,"6,0",,,A,,,false,60,,,,,false,,,n14,2023,C,2083,,,,,,false,,,,false,,2025-02-09
2,n17,2023,5,0,,"6,0",,,A,,,false,60,,,,,false,,,n17,2023,A,2083,,,,,,false,,,,false,,2025-02-09
2,n17,2023,25,0,,"6,0",,,A,,,false,61,,,,,false,,,n14,2023,C,2083,,,,,,false,,,,false,,2025-02-09
2,n17,2023,25,0,,"6,0",,,A,,,false,61,,,,,false,,,n17,2023,A,2083,,,,,,false,,,,false,,2025-02-09
3,n16,2021,17,0,,"",,0.0,A,,,false,19,,,,,false,,,n16,2021,A,2083,,,,,,false,,,,false,,2025-02-09
4,n16,2021,17,0,,"",,0.0,A,,,false,20,,,,,false,,,n16,2021,A,2083,,,,,,false,,,,false,,2025-02-09
8,n16,2021,17,0,,"",,0.0,A,,,false,21,,,,,false,,,n16,2021,A,2083,,,,,,false,,,,false,,2025-02-09
12,n16,2021,17,0,,"",,0.0,A,,,false,22,,,,,false,,,n16,2021,A,2083,,,,,,false,,,,false,,2025-02-09
15,n16,2021,17,0,,"",,0.0,A,,,false,23,,,,,false,,,n16,2021,A,2083,,,,,,false,,,,false,,2025-02-09
17,n16,2021,17,0,,"",,0.0,A,,,false,24,,,,,false,,,n16,2021,A,2083,,,,,,false,,,,false,,2025-02-09
21,n16,2021,17,0,,"",,0.0,A,,,false,27,,,,,false,,,n16,2021,A,2083,,,,,,false,,,,false,,2025-02-09
24,n16,2021,17,0,,"",,0.0,A,,,false,17,,,,,false,,,n16,2021,A,2083,,,,,,false,,,,false,,2025-02-09
25,n16,2021,17,0,,"",,0.0,A,,,false,29,,,,,false,,,n16,2021,A,2083,,,,,,false,,,,false,,2025-02-09
26,n16,2021,17,0,,"",,0.0,A,,,false,31,,,,,false,,,n16,2021,A,2083,,,,,,false,,,,false,,2025-02-09
27,n16,2021,17,0,,"",,0.0,A,,,false,32,,,,,false,,,n16,2021,A,2083,,,,,,false,,,,false,,2025-02-09
28,n16,2021,17,0,,"",,0.0,A,,,false,33,,,,,false,,,n16,2021,A,2083,,,,,,false,,,,false,,2025-02-09
29,n16,2021,17,0,,"",,0.0,A,,,false,34,,,,,false,,,n16,2021,A,2083,,,,,,false,,,,false,,2025-02-09
30,n16,2021,17,0,,"",,0.0,A,,,false,35,,,,,false,,,n16,2021,A,2083,,,,,,false,,,,false,,2025-02-09
